Recording_ID,Source,Species,Month,Latitude,Longitude,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,Temperature,NL_Raw_Avg_Vis,NL_CloudFreeCoverage_.num_obs.,NL_StableLights_Avg,TreeCover,PopulationDensity,DistanceToRoad_km,Humidity,ClimateDivisions,Level1Ecoregion,Level1Ecoregion_Edited,KG_ClimateZones,KG_ClimateZones_Edited,Elevation_m
1253,XC,Pipilo erythrophthalmus,6,39.9312,-74.6376,6117.836257,4926.267057,7221.052632,2106.140351,5157.894737,2278.070175,429.8245614,1234.551657,NA,10,50,10,96,10.06886,4.50672251,NA,SOUTHERN,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,21
13417,XC,Pipilo erythrophthalmus,5,35.2176,-85.922,4298.245614,3057.127193,6103.508772,2020.175439,4126.315789,2364.035088,300.877193,1284.100877,25.6,25,44,25,100,10.4725,5.896701428,67.4,CUMBERLAND PLATEAU,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Cfa: Humid Subtropical Climate,Cfa: Humid Subtropical Climate,564
15276,ML,Pipilo erythrophthalmus,7,42.30735698,-76.48113821,5996.052632,2629.093567,6877.192982,2278.070175,4642.105263,3997.368421,2707.894737,3409.94152,NA,5,44,0,67,1.92868,12.17595685,NA,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",411
15277,ML,Pipilo erythrophthalmus,6,41.97143846,-82.5357966,5390,2518.77193,5845.614035,1977.192982,3911.403509,3438.596491,1547.368421,2914.210526,NA,5,38,0,100,54.45583,11.55196317,NA,,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,177
15278,ML,Pipilo erythrophthalmus,5,42.48010502,-76.4499992,6731.052632,2995.877193,7135.087719,2793.859649,4384.210526,4384.210526,2836.842105,3778.157895,NA,45,45,45,92,29.60069,0.331234751,NA,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332
15281,ML,Pipilo erythrophthalmus,6,42.48010502,-76.4499992,4780.604288,3027.875244,5286.842105,1934.210526,3395.614035,2450,730.7017544,1795.711501,NA,45,45,45,92,29.60069,0.331234751,NA,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332
15283,ML,Pipilo erythrophthalmus,4,25.72546689,-80.2591454,4498.830409,3094.736842,6447.368421,1633.333333,4857.017544,1805.263158,1203.508772,1447.076023,NA,63,67,63,0,1241.07092,0.430787015,NA,LOWER EAST COAST,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Am: Tropical Monsoon,Am: Tropical Monsoon,11
15285,ML,Pipilo erythrophthalmus,4,39.80157303,-83.89507575,5984.11306,2450,12164.03509,2321.052632,9885.964912,9628.070175,558.7719298,3577.095517,NA,24,39,24,70,1266.75684,0.292441911,NA,SOUTHWEST,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,316
15296,ML,Pipilo erythrophthalmus,7,42.45793016,-76.31829474,5405.04386,2149.122807,5458.77193,1891.22807,3610.526316,3610.526316,2535.964912,3298.903509,NA,7,43,7,0,11.93869,3.299124196,NA,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",491
15300,ML,Pipilo erythrophthalmus,7,42.48010502,-76.4499992,4882.807018,2361.169591,5372.807018,1590.350877,3825.438596,3094.736842,1074.561404,2564.619883,NA,45,45,45,92,29.60069,0.331234751,NA,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332
